appid,genres
1621690,"Adventure, Casual, Indie, RPG"
291480,"Action, Massively Multiplayer, Free To Play"
1017100,"Free To Play, Indie, Strategy"
1535560,"Casual, Free To Play, Indie, RPG, Simulation"
586140,Action
211820,"Action, Adventure, Casual, Indie, RPG"
431730,"Animation & Modeling, Design & Illustration, Game Development"
1259970,Sports
495910,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
686810,"Action, Indie, Massively Multiplayer, Simulation, Strategy"
2225070,Racing
1173510,"Utilities, Early Access"
4920,"Action, Indie, Strategy"
2349820,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
469600,"Casual, Indie, Strategy"
454650,"Action, Adventure, Casual, Massively Multiplayer"
6020,Action
391540,"Indie, RPG"
824270,"Action, Indie, Simulation"
594570,"Action, Strategy"
493080,"Indie, RPG, Strategy"
1343370,"Adventure, Massively Multiplayer, RPG, Free To Play"
428340,"Animation & Modeling, Design & Illustration, Video Production"
2962810,"Casual, Indie, Simulation, Free To Play, Early Access"
477160,"Adventure, Casual, Indie, Simulation"
1091500,RPG
72850,RPG
745920,"Adventure, Indie, Massively Multiplayer, RPG"
704450,RPG
482730,
2252570,"Simulation, Sports, Strategy"
8930,Strategy
805550,"Racing, Simulation, Sports"
892420,
1520470,"Action, Adventure, Massively Multiplayer, RPG, Strategy, Free To Play"
620980,Indie
1180380,"Action, Indie, Massively Multiplayer, RPG, Free To Play, Early Access"
646570,"Indie, Strategy"
108600,"Indie, RPG, Simulation, Early Access"
363970,"Adventure, Casual, Indie, RPG, Simulation, Strategy, Free To Play"
577800,"Simulation, Sports"
238430,"Action, Adventure, Indie"
454550,"Animation & Modeling, Design & Illustration"
812140,"Ação, Aventura, RPG"
2835570,"Экшены, Инди, Симуляторы"
261550,"Action, Indie, RPG, Simulation, Strategy"
253710,"Action, Adventure, Free To Play, Simulation, Sports"
2484110,"Adventure, RPG"
550650,"Action, Free To Play"
376210,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access"
1049590,"Indie, Strategy, Free To Play"
291550,"Action, Indie, Free To Play"
482920,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Free To Play"
838350,"Adventure, Casual, Indie, RPG, Strategy, Early Access"
714010,"Action, Adventure, Casual, Indie, Simulation, Free To Play"
391220,"Action, Adventure"
1597460,"Adventure, RPG"
1281930,"Action, Adventure, Indie, RPG, Free To Play"
1407200,"Action, Massively Multiplayer, Simulation, Free To Play"
673950,"Casual, Indie, Simulation"
365590,"Action, Adventure, RPG"
252150,
466240,"Action, Indie, Free To Play"
319830,"Action, Indie, Simulation"
298180,
346290,
351940,"Adventure, Casual, Indie"
397720,Simulation
608990,"Casual, Indie, Simulation, Strategy, Early Access"
845070,"Adventure, Free To Play"
272060,"Adventure, Indie"
326360,"Massively Multiplayer, RPG, Free To Play"
1222800,"Adventure, RPG, Free To Play"
1097150,"Action, Casual, Indie, Massively Multiplayer, Sports"
1248130,Simulation
862690,"Adventure, Casual, Free To Play, Indie"
295110,
758370,"Indie, Strategy"
1623730,"Action, Adventure, Indie, RPG, Early Access"
233860,"Action, Indie, RPG, Simulation, Strategy"
1434480,"Adventure, Casual"
924970,Action
222880,"Action, Indie, Strategy"
581320,Action
1778820,Action
364470,Free To Play
447040,"Action, Adventure"
537180,
413150,"Indie, RPG, Simulation"
665300,"Animation & Modeling, Audio Production, Design & Illustration, Utilities, Video Production, Web Publishing"
1546320,"RPG, Free To Play"
2426960,"RPG, Strategy, Free To Play"
304050,"Action, Adventure, Casual, Massively Multiplayer, RPG, Free To Play"
644930,Strategy
1158310,"RPG, Simulation, Strategy"
255710,"Simulation, Strategy"
71320,
678950,Action
2113850,"Casual, Indie, Simulation"
1568590,"Casual, Indie, Massively Multiplayer, Strategy, Free To Play"
244850,"Action, Indie, Simulation, Strategy"
1473480,"Action, Massively Multiplayer, Free To Play"
668630,"Adventure, Casual, Indie"
755790,
2485460,Strategy
241560,"Action, Massively Multiplayer, Racing"
1364780,"Action, Adventure"
813780,Strategy
223750,"Simulation, Free To Play"
1238810,Action
