appid,genres
1049590,"Free-to-Play, Indie, Strategy"
291550,"Action, Free-to-Play, Indie"
482920,"Adventure, Casual, Free-to-Play, Indie, MMO, RPG, Strategy"
838350,"Adventure, Casual, Early Access, Indie, RPG, Strategy"
714010,"Action, Adventure, Casual, Free-to-Play, Indie, Simulation"
391220,"Action, Adventure"
1597460,"Adventure, RPG"
1281930,"Action, Adventure, Free-to-Play, Indie, RPG"
1407200,"Action, Free-to-Play, MMO, Simulation"
673950,"Casual, Indie, Simulation"
365590,"Action, Adventure, RPG"
252150,nan
466240,"Action, Free-to-Play, Indie"
319830,"Action, Indie, Simulation"
298180,nan
346290,nan
351940,"Adventure, Casual, Indie"
397720,Simulation
608990,"Casual, Early Access, Indie, Simulation, Strategy"
845070,"Adventure, Free-to-Play"
272060,"Adventure, Indie"
326360,"Free-to-Play, MMO, RPG"
1222800,"Adventure, Free-to-Play, RPG"
1097150,"Action, Casual, Indie, MMO, Sports"
1248130,Simulation
862690,"Adventure, Casual, Free-to-Play, Indie"
295110,nan
758370,"Indie, Strategy"
1623730,"Action, Adventure, Early Access, Indie, RPG"
233860,"Action, Indie, RPG, Simulation, Strategy"
1434480,"Adventure, Casual"
924970,Action
222880,"Action, Indie, Strategy"
581320,Action
1778820,Action
364470,Free-to-Play
447040,"Action, Adventure"
537180,nan
413150,"Indie, RPG, Simulation"
665300,"Design & Illustration, Media & Production, Software & Tools, Utilities"
1546320,"Free-to-Play, RPG"
2426960,"Free-to-Play, RPG, Strategy"
304050,"Action, Adventure, Casual, Free-to-Play, MMO, RPG"
644930,Strategy
1158310,"RPG, Simulation, Strategy"
255710,"Simulation, Strategy"
71320,nan
678950,Action
2113850,"Casual, Indie, Simulation"
1568590,"Casual, Free-to-Play, Indie, MMO, Strategy"
244850,"Action, Indie, Simulation, Strategy"
1473480,"Action, Free-to-Play, MMO"
668630,"Adventure, Casual, Indie"
755790,nan
2485460,Strategy
241560,"Action, MMO, Racing"
1364780,"Action, Adventure"
813780,Strategy
223750,"Free-to-Play, Simulation"
1238810,Action
489830,RPG
1644960,"Simulation, Sports"
881100,"Action, Adventure, Indie, RPG, Simulation"
204300,"Action, Free-to-Play, Indie, Strategy"
632360,"Action, Indie"
377160,RPG
1071100,"Media & Production, Utilities"
767560,"Action, Free-to-Play"
1877960,"Casual, Free-to-Play, Indie, Strategy"
311210,"Action, Adventure"
541180,nan
602520,"Casual, Indie"
700030,"Action, Adventure, Early Access, MMO, RPG, Simulation"
244210,"Indie, Racing, Simulation, Sports"
1468810,"Action, Adventure, Indie, RPG, Simulation"
319630,"Action, Adventure"
843380,"Action, Adventure, Casual, Free-to-Play, Indie, MMO"
635260,"MMO, Racing, Simulation, Sports"
33930,"Action, Simulation, Strategy"
385760,nan
1811260,"Simulation, Sports"
269950,Simulation
42710,Action
1128810,"Casual, Free-to-Play, Strategy"
1245620,"Action, RPG"
774861,"Action, Adventure, Casual, Indie, Strategy"
3590,Strategy
702320,"Free-to-Play, MMO, RPG, Strategy"
282660,Utilities
1170950,"Action, Indie, MMO, RPG"
2123310,"Casual, Indie, MMO, RPG, Simulation, Strategy"
314160,Simulation
358130,"Indie, RPG, Strategy"
976730,Action
214950,Strategy
1174180,"Action, Adventure"
1985810,Action
586210,Utilities
