"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Game Master Engine","1615266000000","true","13440","0","170496.23061523808","21.36399709956959","82","Indie","Game Master Studios LLC","Game Master Studios LLC","1451680","https://store.steampowered.com/app/1451680",""
"Star Chef 2: Cooking Game","1628481600000","false","47930","0","169020.45585844287","80.54999146987016","70","Indie","99Games Online Private Limited","99Games Online Private Limited","1612810","https://store.steampowered.com/app/1612810",""
"Ashen Empires","1662091200000","false","34571","0","166983.25362295215","388.2044789209631","76","Indie","Iron Will Games, LLC","Iron Will Games, LLC","937380","https://store.steampowered.com/app/937380",""
"Romans: Age of Caesar","1651032000000","false","19243","0","166422.8521591927","193.44212186369856","46","Indie","FireFly Studios","FireFly Studios","872570","https://store.steampowered.com/app/872570",""
"War Rock","1549429200000","false","144926","0","165604.86612525233","9.75183189146874","60","Indie","Papaya Play","Dream Execution","880850","https://store.steampowered.com/app/880850",""
"The Braves","1714708800000","false","61424","0","158866","32.085697914546124","71","Indie","101XP","101XP GAME STUDIOS","2479830","https://store.steampowered.com/app/2479830",""
"Alchemia Story","1677042000000","false","19041","0","157397","58.54029870946566","62","Indie","Asobimo, Inc.","Asobimo, Inc.","2208530","https://store.steampowered.com/app/2208530",""
"My Free Farm 2","1522728000000","false","144610","0","156808.8234919688","0","60","Indie","upjers","upjers","799240","https://store.steampowered.com/app/799240",""
"Art of War: Red Tides","1482364800000","true","829454","0","154092.76503965654","114.35327465179682","79","AAA","Game Science","Game Science","558100","https://store.steampowered.com/app/558100",""
"Hero Plus","1516597200000","false","15809","0","150787.72667579056","315.7286531852355","60","Indie","Netgame Inc","MGAME Corporation","747920","https://store.steampowered.com/app/747920",""
"Space Simulation Toolkit","1591329600000","true","10316","19.99","150615","24.508645270892835","79","Indie","Pavel Kudinov","Pavel Kudinov","1196080","https://store.steampowered.com/app/1196080",""
"Underworld Idle","1620273600000","false","73443","0","150037.3300700192","208.09252935465958","72","Indie","Aleksandr Golovkin","Aleksandr Golovkin","1540960","https://store.steampowered.com/app/1540960","1675314000000"
"World War Armies","1709269200000","false","28361","0","148650","23.906120585383697","60","Indie","Hypemasters, Inc.","Hypemasters, Inc.","2438160","https://store.steampowered.com/app/2438160","1714622400000"
"DPS IDLE 2","1727049600000","true","21445","0","147331","113.26332567758482","49","Indie","YDKR","YDKR","2402710","https://store.steampowered.com/app/2402710",""
"Puzzle Quest 3","1646024400000","false","41023","0","147071.0045513783","100.46535464964325","51","AA","505 Games","Infinity Plus 2","1380410","https://store.steampowered.com/app/1380410","1685419200000"
"Mortal Online","1440993600000","false","343937","0","146844.6107663325","186.47219612338648","52","Indie","Star Vault AB","Star Vault AB","287920","https://store.steampowered.com/app/287920",""
"M.A.R.S.","1624420800000","false","73302","0","144486.64121838505","82.73354748037656","63","Indie","SubaGames","YingPei Games","314430","https://store.steampowered.com/app/314430","1635393600000"
"Card Hunter","1436760000000","false","813392","0","143202.287923691","74.68240150414321","86","Indie","The Knights of Unity","The Knights of Unity","293260","https://store.steampowered.com/app/293260",""
"末日血战","1617163200000","false","1820","0","141230.48056336548","60.030811839176515","45","Indie","猕猴桃游戏","猕猴桃游戏","1508730","https://store.steampowered.com/app/1508730",""
"Rise of Flight United","1378353600000","false","251286","0","141113.8258114862","16.71367010957347","56","Indie","FOR-GAMES CR LTD","777 Studios","244050","https://store.steampowered.com/app/244050",""
"Blackwake","1485907200000","false","2151723","0","141062.95445825873","10.93914743429991","81","Indie","Mastfire Studios Pty Ltd","Mastfire Studios Pty Ltd","420290","https://store.steampowered.com/app/420290","1582088400000"
"Midas Gold Plus","1485925200000","false","170184","0","140825.19494403177","347.4461358394009","86","Indie","Holyday Studios","Holyday Studios","557400","https://store.steampowered.com/app/557400",""
