friend_id,Abfragestatus,Daten vorhanden
76561198898601921,Ja,
76561198901835556,Ja,"Rust,Counter-Strike 2"
76561198934701774,Keine Spiele,
76561198951846824,Keine Spiele,
76561198955487451,Ja,"Counter-Strike 2,Rust"
76561198964581192,Keine Spiele,
76561198967611581,Keine Spiele,
76561198968508164,Ja,Counter-Strike 2
76561198975322091,Ja,Counter-Strike 2
76561198979267702,Keine Spiele,
76561198979490575,Ja,Counter-Strike 2
76561198979920666,Ja,Counter-Strike 2
76561198990502687,Keine Spiele,
76561198992027721,Ja,Counter-Strike 2
76561198993549237,Ja,Counter-Strike 2
76561198999976504,Ja,"Counter-Strike 2,Rust"
76561199008897180,Ja,Counter-Strike 2
76561199015543865,Keine Spiele,
76561199024835675,Keine Spiele,
76561199046918518,Keine Spiele,
76561199049634157,Keine Spiele,
76561199059427814,Keine Spiele,
76561199072617783,Ja,Counter-Strike 2
76561199087568343,Ja,"Counter-Strike 2,Rust"
76561199087570445,Keine Spiele,
76561199089037388,Ja,Counter-Strike 2
76561199093368217,Ja,Counter-Strike 2
76561199094116635,Ja,"Counter-Strike 2,Rust"
76561199095510474,Ja,Counter-Strike 2
76561199108998962,Ja,Counter-Strike 2
76561199110169931,Keine Spiele,
76561199114170375,Ja,"Counter-Strike 2,Rust"
76561199122523714,Ja,Counter-Strike 2
76561199128848663,Keine Spiele,
76561199133506799,Ja,Counter-Strike 2
76561199136247741,Ja,"Counter-Strike 2,Rust,DayZ"
76561199144231100,Keine Spiele,
76561199146841903,Keine Spiele,
76561199150666923,Keine Spiele,
76561199215901436,Keine Spiele,
76561199219972052,Keine Spiele,
76561199228568855,Keine Spiele,
76561199266171841,Keine Spiele,
76561199379589694,Keine Spiele,
76561199404926312,Keine Spiele,
76561199441412126,Ja,
76561199441474126,Ja,Counter-Strike 2
76561199473956311,Ja,
76561199505098903,Keine Spiele,
76561199763060768,Keine Spiele,
76561198088988832,Keine Spiele,
76561198100418885,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198139578965,Ja,"Counter-Strike 2,Counter-Strike: Source,Rust"
76561198255794664,Ja,Counter-Strike 2
76561198348139688,Ja,"Counter-Strike 2,Insurgency,Rust"
76561198352913965,Ja,Counter-Strike 2
76561198874859975,Keine Spiele,
76561198996365219,Ja,Counter-Strike 2
76561198996957638,Ja,"Counter-Strike 2,DayZ,Raft,Rust"
76561199088123472,Ja,"Rust,Counter-Strike 2"
76561199123623474,Keine Spiele,
76561199126931503,Keine Spiele,
76561199135434636,Ja,"Counter-Strike 2,Raft"
76561199170934511,Keine Spiele,
76561199174007496,Keine Spiele,
76561199178176506,Ja,"Counter-Strike 2,Rust"
76561199189365383,Ja,"Counter-Strike 2,Rust,Counter-Strike: Source"
76561199192806463,Keine Spiele,
76561199216762948,Keine Spiele,
76561199245810068,Keine Spiele,
76561199350459300,Ja,Counter-Strike: Source
76561199511045547,Keine Spiele,
76561199570836054,Keine Spiele,
76561199680505031,Keine Spiele,
76561199784784597,Keine Spiele,
76561197996702601,Keine Spiele,
76561198015714999,Keine Spiele,
76561198018320016,Keine Spiele,
76561198023683528,Keine Spiele,
76561198030028956,Keine Spiele,
76561198031228085,Keine Spiele,
76561198031937517,Keine Spiele,
76561198059596814,Ja,"Counter-Strike 2,DayZ"
76561198064513194,Ja,Counter-Strike 2
76561198073798379,Keine Spiele,
76561198076060865,Keine Spiele,
76561198078515280,Keine Spiele,
76561198082694788,Keine Spiele,
76561198082844284,Keine Spiele,
76561198088844679,Keine Spiele,
