steam_id,stat_build_foundationCount,stat_build_paintCount,stat_build_removeCount,stat_player_anglerFishKills,stat_player_bearKills,stat_player_birdKills,stat_player_boarKills,stat_player_botKills,stat_player_capturedAnimals,stat_player_captures_bee,stat_player_deaths,stat_player_excevations_treasure,stat_player_fireworks_launched,stat_player_hookCount,stat_player_instrumentNotes_played,stat_player_pufferKills,stat_player_ratKills,stat_player_sharkKills,stat_player_stoneBirdKills,stat_player_token_spend_tangaroa,stat_player_zipline_distance,stat_player_zipline_distanceOneGo,stat_shark_bitePlayer,stat_test_2,stat_test_3,stat_test_4,stat_test_5
76561198064012423,5.0,,,,2.0,,1.0,,,,3.0,,,51.0,,,,4.0,1.0,,,,,,,,
76561198064135971,264.0,,93.0,,5.0,24.0,1.0,15.0,2.0,8.0,5.0,6.0,,115.0,,11.0,23.0,9.0,1.0,21.0,269.0,34.0,,,,,
76561198064490803,241.0,,39.0,,8.0,7.0,,,,,,,,1426.0,,,15.0,21.0,,,,,,,,,
76561198064626825,18.0,,7.0,4.0,8.0,2.0,3.0,13.0,,8.0,28.0,,,230.0,,1.0,18.0,14.0,1.0,27.0,302.0,76.0,,1.0,1.0,1.0,
76561198065002924,269.0,,47.0,6.0,7.0,11.0,3.0,5.0,,7.0,22.0,7.0,,1532.0,,4.0,35.0,16.0,1.0,12.0,406.0,86.0,,1.0,1.0,1.0,
76561198065038619,251.0,,260.0,,6.0,8.0,3.0,7.0,4.0,16.0,9.0,4.0,,901.0,,7.0,10.0,33.0,1.0,,213.0,34.0,,1.0,,,
76561198065186919,33.0,,,,,,,,,,3.0,,,83.0,,,,,,,,,,,,,
76561198065434360,25.0,,1.0,,,,1.0,,1.0,,5.0,8.0,,196.0,,1.0,,1.0,,,,,,,,,
76561198065819277,889.0,33.0,773.0,,18.0,76.0,9.0,8.0,14.0,17.0,20.0,20.0,,699.0,12.0,40.0,32.0,24.0,2.0,22.0,195.0,32.0,,,,,
76561198066270016,36.0,,,,,,,,,,,,,212.0,,,,,,,,,1.0,,,,
76561198066929880,125.0,,81.0,,,13.0,5.0,,,,10.0,,,1049.0,,,,24.0,1.0,,,,,,,,
76561198067530475,93.0,,78.0,5.0,13.0,27.0,8.0,14.0,3.0,7.0,14.0,,,199.0,,5.0,36.0,22.0,,,206.0,81.0,,1.0,1.0,1.0,
76561198067791101,214.0,,94.0,,,,5.0,,,,37.0,,,550.0,,,13.0,10.0,,,,,,1.0,,,
76561198068255511,48.0,,3.0,,,2.0,,,,,2.0,,,334.0,,,,5.0,,,,,,,,,
76561198068362460,277.0,,19.0,,,,1.0,,,,2.0,,,864.0,,,,4.0,,,,,18.0,,,,
76561198068701447,57.0,,56.0,8.0,24.0,3.0,11.0,5.0,6.0,12.0,24.0,14.0,,941.0,695.0,15.0,19.0,64.0,7.0,24.0,611.0,83.0,,1.0,1.0,1.0,1.0
76561198068779905,220.0,,63.0,9.0,18.0,32.0,5.0,12.0,3.0,9.0,23.0,1.0,,1218.0,,6.0,28.0,25.0,1.0,,511.0,83.0,,1.0,,,1.0
76561198068790576,46.0,,67.0,,11.0,50.0,4.0,11.0,4.0,8.0,6.0,,5.0,569.0,241.0,3.0,26.0,42.0,3.0,24.0,132.0,36.0,,1.0,1.0,1.0,
76561198068790585,295.0,,1375.0,,28.0,68.0,8.0,15.0,12.0,5.0,3.0,19.0,2.0,1094.0,491.0,23.0,43.0,66.0,9.0,32.0,451.0,40.0,,,,,
76561198069391862,176.0,100.0,5.0,,,2.0,,,,,8.0,,,747.0,,,,1.0,,,,,62.0,,,,
76561198069890164,199.0,,67.0,7.0,17.0,45.0,19.0,16.0,12.0,15.0,13.0,9.0,20.0,453.0,,19.0,36.0,36.0,1.0,17.0,510.0,78.0,,1.0,1.0,1.0,1.0
76561198069936326,35.0,,2.0,,,,,,,,2.0,,,347.0,,,,,,,,,,,,,
76561198070035420,403.0,85.0,604.0,6.0,37.0,28.0,11.0,33.0,11.0,23.0,8.0,18.0,57.0,352.0,48.0,26.0,43.0,65.0,7.0,38.0,560.0,70.0,,1.0,1.0,1.0,1.0
76561198070184173,9.0,,,,,,,,,,1.0,,,303.0,,,,2.0,,,,,,,,,
76561198070185454,184.0,,222.0,6.0,20.0,18.0,9.0,13.0,,9.0,11.0,1.0,20.0,267.0,,1.0,27.0,12.0,,27.0,468.0,81.0,,1.0,1.0,1.0,1.0
76561198070202677,214.0,1.0,96.0,,27.0,79.0,21.0,8.0,12.0,7.0,19.0,17.0,6.0,2041.0,,36.0,47.0,97.0,10.0,21.0,313.0,36.0,,,,,
76561198070460917,351.0,,136.0,,,26.0,,,,,1.0,,,557.0,,,,12.0,,,,,77.0,,,,
76561198070507340,236.0,,101.0,5.0,13.0,37.0,10.0,8.0,21.0,17.0,73.0,11.0,,1277.0,71.0,13.0,43.0,97.0,,53.0,563.0,84.0,180.0,1.0,1.0,1.0,1.0
76561198070959819,152.0,,79.0,,,2.0,5.0,,1.0,,29.0,,,522.0,,4.0,14.0,10.0,2.0,,,,,1.0,,,
76561198070990869,42.0,,5.0,,,1.0,,,,,,,,256.0,,,,1.0,,,,,,,,,
76561198071157275,1343.0,1000.0,1525.0,10.0,70.0,135.0,64.0,39.0,56.0,35.0,45.0,70.0,10.0,5249.0,224.0,59.0,78.0,94.0,54.0,71.0,2069.0,91.0,,1.0,1.0,1.0,1.0
76561198071602402,,,,,,,,,,,1.0,,,44.0,,,,1.0,,,,,15.0,,,,
76561198071837722,306.0,108.0,85.0,9.0,12.0,29.0,5.0,1.0,5.0,5.0,17.0,3.0,,1933.0,160.0,4.0,26.0,25.0,2.0,11.0,312.0,63.0,,1.0,1.0,1.0,1.0
76561198071897924,312.0,,26.0,,,2.0,,,,,2.0,,,269.0,,,,,,,,,,,,,
76561198071907442,214.0,,318.0,7.0,36.0,37.0,11.0,7.0,10.0,34.0,37.0,26.0,10.0,74.0,86.0,16.0,25.0,20.0,1.0,24.0,448.0,84.0,,1.0,1.0,1.0,1.0
76561198072770583,125.0,,32.0,,,,,,,,,,,68.0,,,,7.0,,,,,39.0,,,,
76561198072890855,9.0,,,,,,,,,,,,,39.0,,,,,,,,,,,,,
76561198072983205,42.0,,4.0,,,6.0,5.0,,,,2.0,,,194.0,,5.0,12.0,11.0,3.0,,,,,1.0,,,
76561198073474169,288.0,,2.0,,,4.0,,,,,7.0,,,639.0,,,,9.0,,,,,,,,,
76561198074048951,49.0,,16.0,,1.0,,5.0,,32.0,,13.0,,,240.0,,2.0,14.0,4.0,,,,,,,,,
76561198074404931,97.0,,31.0,,4.0,23.0,4.0,32.0,,8.0,32.0,2.0,,197.0,,3.0,28.0,13.0,1.0,29.0,229.0,35.0,,,,,
76561198074674816,184.0,,62.0,,,2.0,,,,,10.0,,,388.0,,,,1.0,,,,,,,,,
76561198074777152,50.0,,5.0,,,,,,,,,,,221.0,,,,1.0,,,,,,,,,
76561198074931099,17.0,50.0,819.0,,,2.0,1.0,,,,,,,45.0,,,,12.0,,,23.0,9.0,,,,,
76561198074962087,202.0,4.0,192.0,,10.0,9.0,6.0,,3.0,5.0,4.0,,,374.0,,4.0,14.0,14.0,,,,,,1.0,1.0,,
76561198075241686,220.0,,166.0,,,21.0,5.0,,,,3.0,,,144.0,,1.0,,14.0,2.0,,,,,,,,
76561198075271799,68.0,,9.0,5.0,,3.0,,,,,5.0,,,756.0,,,3.0,25.0,,,,,43.0,,,,
76561198075659715,153.0,,15.0,,24.0,1.0,22.0,17.0,12.0,10.0,15.0,10.0,10.0,1087.0,58.0,24.0,32.0,45.0,11.0,8.0,204.0,34.0,,1.0,1.0,,
76561198076587100,669.0,,153.0,,,,,,,,,,,348.0,,,,3.0,,,,,,,,,
76561198076765796,,,4.0,,,4.0,,,,,4.0,,,66.0,,3.0,,3.0,,,35.0,31.0,,,,,
76561198077586128,250.0,20.0,170.0,4.0,29.0,62.0,5.0,10.0,4.0,12.0,15.0,13.0,,1899.0,,11.0,41.0,52.0,1.0,20.0,396.0,80.0,,1.0,1.0,1.0,1.0
76561198077658715,527.0,,152.0,,10.0,87.0,13.0,,,,11.0,,,866.0,,,19.0,20.0,1.0,,123.0,27.0,,,1.0,,
76561198077756229,661.0,1206.0,918.0,17.0,57.0,111.0,56.0,51.0,18.0,56.0,104.0,97.0,60.0,1856.0,611.0,74.0,76.0,24.0,2.0,135.0,1216.0,86.0,20.0,1.0,1.0,1.0,1.0
76561198078002828,115.0,,2.0,,,3.0,,,,,3.0,,,537.0,,,,6.0,,,,,,,,,
76561198078007579,43.0,66.0,1241.0,9.0,23.0,27.0,12.0,23.0,5.0,8.0,15.0,12.0,560.0,297.0,116.0,14.0,44.0,81.0,4.0,25.0,1080.0,149.0,,,,,1.0
76561198078229304,182.0,,87.0,,,12.0,3.0,,,,10.0,,,1031.0,,,,21.0,,,,,42.0,,,,
76561198078621495,118.0,,30.0,,,3.0,,,,,7.0,,,552.0,,1.0,,1.0,,,,,,,,,
76561198078802715,465.0,9.0,113.0,4.0,17.0,46.0,6.0,23.0,3.0,3.0,6.0,15.0,,2780.0,75.0,2.0,40.0,62.0,2.0,14.0,121.0,76.0,,,,1.0,1.0
76561198079128985,8.0,,,,,,,,,,,,,220.0,,,,9.0,,,,,,,,,
76561198079351531,187.0,,33.0,,10.0,10.0,,,,,49.0,,,335.0,,2.0,11.0,7.0,,,,,148.0,,,,
